DAY360,WDIR,WDSD,TEMP,HUMD,PRES,D_TX,D_TN,H_24R
32,130.2083333,0.825,12.81666667,0.65,946.2333333,15.325,6.020833333,0
33,161.6956522,0.747826087,14.55217391,0.677826087,944.9478261,17.7,8.786956522,0
34,71.75,0.558333333,14.36666667,0.772916667,943.8416667,16.3375,11.01666667,0
35,134.6666667,0.833333333,16.35416667,0.772083333,943.5958333,18.75833333,11.95,0
36,122.8333333,0.8125,16.0375,0.780416667,943.35,19.175,10.7125,0
37,142.2083333,0.683333333,17.35,0.801666667,944.4041667,20.04583333,13.925,0
38,130.7916667,0.683333333,16.60416667,0.757916667,945.45,20.10416667,12.05416667,0
39,120.2916667,-3.5125,15.14583333,0.818333333,946.7875,17.60833333,12.65833333,0
40,121.25,0.620833333,15.4625,0.775,946.0125,18.31666667,10.9125,0
41,144.3333333,0.558333333,16.0125,0.774583333,946.1458333,17.77083333,13.08333333,0
42,105.5,0.691666667,18.6125,0.660416667,943.7541667,21.35833333,12.92083333,0
43,141.5416667,0.754166667,17.9875,0.83125,942.0791667,21.92083333,13.20833333,625.5
44,162.5416667,0.729166667,19.26666667,0.825416667,940.9458333,22.425,14.74166667,95.5
45,169.5416667,0.729166667,20.07083333,0.831666667,940.9125,22.39166667,14.84583333,0
46,155.0416667,0.85,18.33333333,0.8825,941.7833333,22.1,16.73333333,0
47,121.625,0.383333333,12.05,0.944166667,945.7125,14.07083333,11.16666667,89.5
48,119.7916667,0.625,13.14166667,0.793333333,947.1083333,15.67916667,10.03333333,4.5
49,87.66666667,0.7375,13.64583333,0.725833333,947.5458333,16.24583333,8.016666667,0
50,92.54166667,0.583333333,15.025,0.748333333,948.1166667,17.925,9.154166667,0
51,67.25,0.5375,16.49166667,0.779166667,949.7958333,19.19583333,11.84166667,0
52,84.79166667,0.679166667,16.66666667,0.70875,949.1083333,19.5625,10.675,0
53,86.04166667,0.5,17.74166667,0.746666667,947.7625,20.925,11.125,0
54,68.66666667,0.529166667,18.675,0.743333333,945.375,21.75,12.57083333,0
55,121.875,0.545833333,19.93333333,0.690833333,943.6625,23.00833333,13.44583333,0
56,104.4166667,0.641666667,19.68333333,0.707916667,943.7041667,22.62083333,13.72916667,0
57,73.79166667,0.7125,19.10833333,0.73125,943.6375,22.24583333,13.64583333,0
